component,explained_variance_ratio,cumulative_variance
152,0.00040903134122388885,0.9818789744348111
153,0.000407198954386552,0.9822861733891977
154,0.0003981527077832975,0.982684326096981
155,0.0003878193971438713,0.9830721454941248
156,0.00038570694722195835,0.9834578524413468
157,0.0003798965515396943,0.9838377489928865
158,0.0003689349395813902,0.9842066839324678
159,0.00036278691421323943,0.984569470846681
160,0.0003544102527360336,0.9849238810994171
161,0.0003477234243838097,0.9852716045238009
162,0.00034687969449076917,0.9856184842182917
163,0.00033511633608381155,0.9859536005543755
164,0.00033270563080453245,0.9862863061851801
165,0.00032608749864543985,0.9866123936838256
166,0.00031512189307577617,0.9869275155769014
167,0.00030251324614266796,0.9872300288230441
168,0.0002881575894844812,0.9875181864125286
169,0.0002734602976643826,0.987791646710193
170,0.00026737418997221,0.9880590209001653
171,0.0002593462274116635,0.9883183671275769
172,0.00025394826416064907,0.9885723153917376
173,0.0002467863013737558,0.9888191016931114
174,0.0002413817817313328,0.9890604834748428
175,0.00023894067300610653,0.9892994241478489
176,0.00022836015457870475,0.9895277843024276
177,0.00022585359163298623,0.9897536378940606
178,0.0002242416809825396,0.9899778795750431
179,0.00021479962361894276,0.990192679198662
180,0.00020847090699382265,0.9904011501056559
181,0.00020491806930092758,0.9906060681749568
182,0.00019816937895254458,0.9908042375539093
183,0.00019678629437068964,0.99100102384828
184,0.00018864094724491183,0.991189664795525
185,0.00018251333528156014,0.9913721781308065
186,0.00018014986601030627,0.9915523279968168
187,0.00017494350570782246,0.9917272715025246
188,0.00017165877842743448,0.991898930280952
189,0.00016794222653230677,0.9920668725074843
190,0.0001641891680673877,0.9922310616755516
191,0.00015609121756567188,0.9923871528931173
192,0.0001552978855708346,0.9925424507786881
193,0.00014862488016977978,0.9926910756588578
194,0.00014654618117397863,0.9928376218400318
195,0.00014358354656927557,0.9929812053866011
196,0.00013861745254031423,0.9931198228391414
197,0.00013668686507770038,0.9932565097042191
198,0.0001315517486941361,0.9933880614529133
199,0.00012466106813115564,0.9935127225210444
200,0.0001233904175320148,0.9936361129385765
201,0.00012087780781763154,0.9937569907463941
202,0.00011861999561117206,0.9938756107420053
203,0.00011519701629642775,0.9939908077583017
204,0.00011140582400966441,0.9941022135823114
205,0.00010840338307412552,0.9942106169653856
206,0.00010522325562558525,0.9943158402210112
207,0.00010312389267082105,0.994418964113682
208,9.925889577411407e-05,0.9945182230094561
209,9.882284377646865e-05,0.9946170458532326
210,9.69455693053262e-05,0.9947139914225379
211,9.528232096198466e-05,0.9948092737434999
212,9.29974439764366e-05,0.9949022711874763
213,9.099898196320437e-05,0.9949932701694395
214,9.026639226447967e-05,0.995083536561704
215,8.944277893670427e-05,0.9951729793406408
216,8.862107912500923e-05,0.9952616004197657
217,8.77445408384162e-05,0.9953493449606041
218,8.5070468886562e-05,0.9954344154294907
219,8.211905304230055e-05,0.9955165344825331
220,8.181817960324896e-05,0.9955983526621364
221,8.061301964512752e-05,0.9956789656817815
222,7.946077610415111e-05,0.9957584264578856
223,7.825109905641404e-05,0.995836677556942
224,7.63689784731525e-05,0.9959130465354152
